5m_range,1h_range,6h_range,5m_mean
"(104555.5, 115974.5)","(113529.25, 136370.75)","(102198.125, 143459.875)",110457.1313868613
"(70322.0, 72728.0)","(71270.0, 72605.0)","(72086.625, 73617.375)",72295.09278350516
"(387.5, 612.5)","(459.625, 749.375)","(85.125, 1104.875)",467.8181818181818
"(1125.0, 1125.0)","(1098.875, 1117.125)","(793.0, 1017.0)",1123.3125
"(21002.5, 24996.5)","(21169.0, 24075.0)","(21175.0, 24281.0)",21579.629921259842
"(-69.75, 145.75)","(-27.875, 103.875)","(23.0, 97.0)",205.83962264150944
"(126.5, 329.5)","(131.25, 332.75)","(168.625, 349.375)",269.67965367965365
"(295.0, 435.0)","(300.625, 429.375)","(304.875, 463.125)",437.08
"(3298.5, 3497.5)","(3178.625, 3616.375)","(1818.0, 3522.0)",3431.6372093023256
"(606.375, 883.625)","(526.0, 874.0)","(-1844.0, 2794.0)",11835.25
"(411.5, 2588.5)","(1097.25, 4006.75)","(583.5, 1083.5)",2013.5542857142857
"(1.0, 1.0)","(0.5, 3.5)","(1.5, 4.5)",1.837837837837838
"(68.0, 78.0)","(57.75, 94.25)","(65.25, 122.75)",78.33333333333333
"(246.0, 272.0)","(151.75, 477.25)","(232.5, 489.5)",319.9626168224299
"(41.0, 67.0)","(52.5, 57.5)","(56.5, 81.5)",47.40875912408759
"(359.5, 824.5)","(532.0, 1066.0)","(489.5, 818.5)",865.7542372881356
"(180.0, 180.0)","(172.5, 209.5)","(160.875, 195.125)",178.82843137254903
"(40674.5, 43319.5)","(40509.5, 43484.5)","(40705.0, 42589.0)",40905.833333333336
"(74.5, 145.5)","(62.875, 127.125)","(68.5, 133.5)",115.10526315789474
"(10.0, 10.0)","(8.0, 10.0)","(7.5, 8.5)",9.454887218045112
"(1340.5, 1499.5)","(1426.0, 1574.0)","(1317.5, 1502.5)",1430.1346153846155
"(205.0, 419.0)","(-839.875, 1569.875)","(249.25, 416.75)",360.0318725099602
"(511.0, 565.0)","(509.0, 592.0)","(551.0, 856.0)",484.56333333333333
"(77.375, 84.625)","(80.5, 87.5)","(87.0, 95.0)",87.7445652173913
"(1681.0, 2367.0)","(568.0, 3568.0)","(1613.0, 3819.0)",2564.883534136546
"(1198.5, 2407.5)","(1025.375, 2974.625)","(748.5, 3607.5)",2877.4540540540543
"(3876.5, 5579.5)","(3574.75, 6247.25)","(4222.5, 6656.5)",5283.470046082949
"(4275.0, 8141.0)","(3458.5, 6435.5)","(3695.875, 5032.125)",5022.600917431193
"(100.5, 3899.5)","(100.0, 3900.0)","(-222.5, 787.5)",2570.7948717948716
"(5968.375, 6031.625)","(5100.0, 5678.0)","(4520.125, 5489.875)",6001.844444444445
"(3628.5, 3963.5)","(3294.5, 3565.5)","(2935.5, 3916.5)",3923.6666666666665
"(195.0, 209.0)","(193.625, 210.375)","(183.0, 199.0)",224.13669064748203
"(40700.5, 45999.5)","(39719.125, 43276.875)","(40219.125, 43270.875)",42155.44827586207
"(2615298.5, 2662625.5)","(2520634.125, 3007495.875)","(3006409.75, 3454134.25)",2645097.394190871
"(2191496.5, 2215169.5)","(2168243.5, 2241756.5)","(2139072.0, 2350283.0)",2204184.5977653633
"(954628.0, 1006371.0)","(943574.5, 990757.5)","(948528.75, 1006181.25)",977630.2696629213
"(1513.5, 2240.5)","(1513.5, 2240.5)","(1322.5, 4483.5)",2023.2364341085272
"(396.5, 445.5)","(342.5, 543.5)","(351.625, 534.375)",395.99661016949153
"(679.5, 1318.5)","(158.0, 676.0)","(276.5, 565.5)",714.9863636363636
"(91.5, 152.5)","(67.0, 129.0)","(83.375, 112.625)",101.65727699530517
"(12113.75, 17486.25)","(8528.5, 14397.5)","(7450.875, 10248.125)",12650.153846153846
"(389.0, 389.0)","(359.0, 591.0)","(97.0, 592.0)",437.5872483221477
"(514.0, 536.0)","(397.0, 713.0)","(412.375, 648.625)",523.0947368421052
"(304.25, 452.75)","(304.0, 452.0)","(288.625, 450.375)",836.2863636363636
"(5943.5, 6252.5)","(5945.5, 6250.5)","(6004.0, 6160.0)",5975.010471204188
"(8431.5, 14034.5)","(10657.0, 11719.0)","(10855.625, 11450.375)",12495.969298245614
"(48457.0, 53583.0)","(49040.0, 53000.0)","(47789.75, 54210.25)",52272.407692307694
"(31.0, 35.0)","(30.5, 33.5)","(31.0, 33.0)",34.06060606060606
"(46.5, 53.5)","(44.5, 57.5)","(37.0, 47.0)",59.80102040816327
"(1.0, 1.0)","(0.5, 1.5)","(0.5, 1.5)",1.1886792452830188
"(5544.5, 7111.5)","(1676.5, 11107.5)","(4284.75, 10328.25)",10350.302702702702
"(1157.5, 1404.5)","(1258.375, 1353.625)","(1231.125, 1430.875)",1370.9795918367347
"(104.5, 109.5)","(104.5, 109.5)","(93.5, 109.5)",104.9298245614035
"(202.0, 202.0)","(188.0, 238.0)","(179.5, 227.5)",206.41304347826087
"(3703279.25, 3763546.75)","(3650482.0, 3727238.0)","(3254566.5, 4050035.5)",3719105.9496402876
"(78.5, 95.5)","(78.75, 95.25)","(65.5, 100.5)",211.6341463414634
"(426.5, 541.5)","(433.125, 564.875)","(428.625, 635.375)",914.3092369477912
"(21.0, 35.0)","(28.5, 41.5)","(22.5, 37.5)",25.225225225225227
"(446.0, 600.0)","(387.0, 649.0)","(368.875, 664.125)",945.3850931677018
"(1126.125, 1231.875)","(1191.125, 1308.875)","(1076.125, 1303.875)",1160.3390410958905
"(649.5, 738.5)","(571.0, 691.0)","(569.0, 949.0)",671.2177121771218
"(4287.5, 5682.5)","(3702.25, 4997.75)","(3704.0, 7175.0)",4851.547169811321
"(565.5, 764.5)","(660.0, 754.0)","(651.0, 827.0)",695.5934579439253
"(2692.75, 4939.25)","(3346.0, 3842.0)","(3618.625, 4740.375)",5036.398406374502
"(6.5, 7.5)","(6.0, 8.0)","(5.0, 11.0)",7.872549019607843
"(-44.375, 83.375)","(2.0, 32.0)","(6.5, 77.5)",103.89285714285714
"(1030.25, 2287.75)","(1071.125, 1917.875)","(1616.375, 2440.625)",3595.8275862068967
"(252.5, 497.5)","(332.75, 525.25)","(238.5, 430.5)",353.4779411764706
"(352.0, 638.0)","(351.5, 638.5)","(181.5, 500.5)",1214.909090909091
"(25884.0, 30114.0)","(24160.375, 28524.625)","(21708.875, 26459.125)",25998.161111111112
"(21557.5, 28442.5)","(20418.5, 27303.5)","(21591.5, 25664.5)",25744.768707482992
"(3900911.5, 4002100.5)","(3939658.0, 4137924.0)","(3692247.5, 4263728.5)",3939353.3541666665
"(8899.5, 10000.5)","(7956.5, 10243.5)","(7322.75, 9306.25)",9222.663551401869
"(37352.0, 38634.0)","(33511.625, 36586.375)","(31879.125, 36714.875)",36842.41714285714
"(73314.0, 114708.0)","(87421.25, 104618.75)","(94082.5, 112961.5)",103591.70175438597
"(6881.5, 11464.5)","(6746.5, 11029.5)","(7821.0, 11500.0)",9769.226130653265
"(1929.0, 2019.0)","(1917.375, 1973.625)","(1943.0, 2021.0)",2015.6455696202531
"(13.5, 46.5)","(18.0, 42.0)","(33.0, 71.0)",43.58
"(536.0, 664.0)","(621.875, 730.125)","(519.25, 663.75)",601.2788104089219
"(1333.0, 1637.0)","(1193.25, 1606.75)","(1315.125, 1784.875)",1401.905109489051
"(859.0, 903.0)","(870.25, 939.75)","(849.25, 924.75)",891.0
"(123.0, 165.0)","(126.5, 149.5)","(105.625, 182.375)",1086.246153846154
"(66.0, 124.0)","(68.5, 123.5)","(61.5, 113.5)",109.2111801242236
"(90.0, 120.0)","(81.0, 121.0)","(82.5, 115.5)",111.62650602409639
"(32.0, 32.0)","(54.0, 159.0)","(12.5, 67.5)",131.83189655172413
"(78973.0, 85355.0)","(79265.625, 87038.375)","(76598.0, 85183.0)",79687.99333333333
"(55000.5, 94999.5)","(29499.5, 80500.5)","(7656.0, 22342.0)",77042.73846153847
"(55460.5, 79539.5)","(39361.0, 64917.0)","(33445.0, 58109.0)",64074.40594059406
"(5823.0, 6177.0)","(5595.375, 6687.625)","(5462.0, 8578.0)",5998.449438202248
"(14582.0, 41118.0)","(-7379.625, 17179.625)","(371.375, 5916.625)",24509.914285714287
"(268946.25, 287053.75)","(208539.0, 245391.0)","(220739.0, 297521.0)",280876.0588235294
"(-142.0, 620.0)","(155.625, 328.375)","(239.5, 350.5)",469.2470588235294
"(48115.5, 52480.5)","(48195.75, 51817.25)","(46344.25, 50610.75)",52547.80952380953
"(36589.5, 46876.5)","(36266.0, 46642.0)","(38469.0, 48125.0)",43495.22535211268
"(32951.0, 36081.0)","(33160.0, 36898.0)","(32662.375, 37121.625)",35004.140845070426
"(18854.0, 27146.0)","(9752.5, 19663.5)","(10377.0, 21605.0)",19358.359649122805
"(346633.5, 408494.5)","(362674.5, 391737.5)","(359451.25, 471120.75)",415126.3976608187
"(2573.5, 2896.5)","(-5865.5, 11535.5)","(-488.125, 8313.125)",4167.391304347826
"(111.5, 294.5)","(59.5, 122.5)","(56.0, 182.0)",249.92727272727274
"(2004886.5, 2155099.5)","(2060337.0, 2219379.0)","(2012912.5, 2167087.5)",2074654.8663101604
"(293444.5, 313101.5)","(299375.0, 320625.0)","(265515.25, 311581.75)",301435.5125
"(79.0, 83.0)","(79.0, 83.0)","(70.0, 128.0)",80.22695035460993
"(111262.5, 168737.5)","(71283.375, 134525.625)","(64885.0, 121563.0)",136190.49775784754
"(378.0, 502.0)","(317.5, 487.5)","(233.0, 469.0)",432.8453038674033
"(107.5, 116.5)","(55.5, 186.5)","(57.25, 196.75)",114.9238578680203
"(23449.0, 23449.0)","(22986.0, 23912.0)","(26007.75, 32551.25)",23445.38566552901
"(115.5, 140.5)","(101.5, 173.5)","(55.375, 115.625)",210.2824427480916
"(76889.0, 87231.0)","(70916.25, 89567.75)","(73796.875, 114035.125)",78505.60563380281
"(1422.25, 2397.75)","(1789.0, 1851.0)","(1542.5, 1862.5)",2407.7391304347825
"(173.5, 184.5)","(167.375, 202.625)","(124.375, 169.625)",176.49425287356323
"(842.25, 967.75)","(908.75, 1031.25)","(759.5, 880.5)",904.2156862745098
"(524.75, 533.25)","(524.375, 545.625)","(527.0, 551.0)",527.6575342465753
"(685.5, 726.5)","(701.5, 736.5)","(708.5, 731.5)",700.4338624338625
"(11872.5, 11873.5)","(11746.0, 12172.0)","(11882.0, 12132.0)",11877.9754601227
"(380.75, 393.25)","(289.25, 610.75)","(240.375, 524.625)",388.23333333333335
"(-574.5, 1174.5)","(62.5, 387.5)","(188.0, 368.0)",848.5529411764705
"(74.0, 90.0)","(87.5, 102.5)","(55.5, 84.5)",85.44890510948905
"(29274.5, 30467.5)","(29274.5, 30467.5)","(29061.5, 30680.5)",30163.103448275862
"(1747.0, 2253.0)","(1881.0, 2081.0)","(1815.375, 1990.625)",2250.2996389891696
"(1908.5, 2291.5)","(1922.5, 2129.5)","(2022.0, 2439.0)",1891.442857142857
"(13429507.25, 13570492.75)","(13448184.25, 13695815.75)","(13672856.125, 14297298.875)",13541904.833333334
"(4362444.75, 4566921.25)","(4526344.5, 4826271.5)","(4380709.0, 4712865.0)",4528539.329608939
"(226622.25, 247928.75)","(192545.0, 241815.0)","(191072.875, 247689.125)",236067.8253012048
"(3547800.25, 3847801.75)","(3553704.5, 4186295.5)","(2862416.0, 3667876.0)",3662194.2529411763
"(634288.5, 665711.5)","(616043.0, 681473.0)","(468181.0, 600661.0)",657382.5724137931
"(5324.5, 5793.5)","(3306.625, 4960.375)","(3998.25, 4149.75)",5288.178571428572
"(485594.0, 556238.0)","(497066.0, 579878.0)","(544980.0, 636556.0)",534379.1565656565
"(390490.5, 687957.5)","(442194.0, 763526.0)","(469606.25, 622765.75)",620214.9222222222
"(351432.0, 426568.0)","(351684.0, 426316.0)","(402971.75, 549320.25)",387612.387755102
"(425391.5, 496622.5)","(447365.0, 523175.0)","(509961.625, 717809.375)",469377.8660287081
"(1539.0, 3327.0)","(2956.0, 4112.0)","(3181.125, 4275.875)",2961.103448275862
"(92879.0, 97862.0)","(89781.5, 106218.5)","(102982.125, 113685.875)",98592.11320754717
"(2300.5, 2547.5)","(2293.5, 2598.5)","(2069.75, 2828.25)",2483.2925531914893
"(1212.5, 1487.5)","(1388.5, 1593.5)","(1201.625, 1367.375)",1327.010752688172
"(-16.0, 18.0)","(-3.0, 31.0)","(-2.0, 36.0)",682.0310880829015
"(80.5, 599.5)","(-194.75, 356.75)","(-217.5, 709.5)",1822.8933333333334
"(33.875, 56.125)","(33.5, 56.5)","(19.5, 32.5)",38.025862068965516
"(759.25, 1030.75)","(784.125, 1005.875)","(834.625, 1031.375)",1017.98
"(1787.25, 2028.75)","(1752.5, 2067.5)","(1641.125, 2511.875)",2148.11214953271
"(3104.5, 4579.5)","(2649.5, 3850.5)","(2706.25, 3791.75)",3755.841530054645
"(15929065.0, 15929065.0)","(15887696.125, 15970433.875)","(15953742.5, 15978514.5)",15966718.448275862
"(37961.75, 40038.25)","(37695.5, 39704.5)","(38720.5, 41297.5)",38541.72222222222
"(410.0, 440.0)","(414.0, 450.0)","(425.875, 491.125)",424.7913043478261
"(422.5, 477.5)","(360.625, 517.375)","(322.375, 620.625)",435.1
"(251594.0, 326182.0)","(248509.0, 313097.0)","(283454.625, 336236.375)",309741.59285714285
"(410610.5, 445389.5)","(422294.5, 450097.5)","(392989.5, 449842.5)",433739.8869047619
"(208530.5, 239467.5)","(206566.875, 234059.125)","(203106.0, 246836.0)",228289.1313131313
"(40259.375, 63645.625)","(45277.0, 58911.0)","(47260.5, 56963.5)",70457.33802816902
"(4940.5, 8281.5)","(4876.0, 8550.0)","(6224.125, 7247.875)",7559.028571428571
"(6218.625, 7407.375)","(7100.0, 7924.0)","(6897.75, 9499.25)",6942.166666666667
"(780731.5, 783250.5)","(782202.5, 784790.5)","(777571.25, 787303.75)",780291.9695945946
"(9315.5, 11214.5)","(9317.75, 10407.25)","(8691.75, 9692.25)",9775.183486238531
"(7401.0, 8599.0)","(7401.0, 8599.0)","(7190.0, 8810.0)",16092.78453038674
"(113113134.5, 114682421.5)","(111934987.5, 115928000.5)","(96995824.25, 114171880.75)",113718673.28346457
"(3963.0, 4915.0)","(3679.125, 4504.875)","(4108.5, 6417.5)",4717.0192307692305
"(250.0, 250.0)","(163.0, 337.0)","(98.0, 277.0)",236.75
"(2800.75, 7199.25)","(4450.0, 5550.0)","(809.5, 3809.5)",3564.6574074074074
"(82950.875, 99418.125)","(78381.375, 85989.625)","(61765.375, 68975.625)",87536.94166666667
"(41415356.0, 42473532.0)","(39802681.25, 41880552.75)","(38713355.875, 39889363.125)",42119983.80701754
"(1515.0, 1559.0)","(1531.5, 1542.5)","(1087.0, 1452.0)",1440.0158102766798
"(412623.5, 767373.5)","(367608.5, 722391.5)","(398999.5, 691000.5)",634491.5878378379
"(134812.5, 195809.5)","(137792.25, 188387.75)","(122334.375, 166626.625)",179027.665
"(22921.0, 29579.0)","(23773.5, 31788.5)","(22870.75, 33373.25)",26496.11111111111
"(1649.5, 10746.5)","(4247.25, 7854.75)","(1594.375, 10657.625)",14856.711538461539
"(869077.0, 1110923.0)","(863654.75, 1104345.25)","(917192.125, 1204321.875)",1056810.7434554973
"(6649990.75, 7749985.25)","(5935555.0, 7175555.0)","(6016680.0, 7213320.0)",7145137.2
"(379067.5, 434536.5)","(359374.375, 394139.625)","(303675.375, 370109.625)",419630.66233766236
"(848.0, 2150.0)","(445.5, 1759.5)","(907.875, 1516.125)",8539.845794392524
"(657.0, 1613.0)","(432.625, 1847.375)","(677.0, 1443.0)",1783.421875
"(16.0, 18.0)","(16.0, 18.0)","(-7.5, 37.5)",482.3891891891892
"(1299.0, 1499.0)","(1234.5, 1563.5)","(860.75, 1217.25)",1734.642857142857
"(774.0, 824.0)","(774.0, 824.0)","(401.5, 710.5)",832.7222222222222
"(3507.0, 4001.0)","(3572.0, 3982.0)","(3666.5, 4289.5)",4067.688888888889
"(37.875, 48.125)","(39.5, 46.5)","(39.5, 48.5)",37.25390625
"(375.0, 1625.0)","(87.5, 1726.5)","(399.5, 986.5)",1182.5233644859813
"(132.75, 187.25)","(132.0, 188.0)","(-31.375, 347.375)",784.6506024096385
"(8.5, 11.5)","(9.0, 12.0)","(-10.0, 35.0)",14.893129770992367
"(555.5, 644.5)","(549.75, 652.25)","(530.25, 649.75)",2952.6613756613756
"(61.5, 108.5)","(58.25, 105.75)","(-352.5, 654.5)",291.6574074074074
"(77.0, 123.0)","(76.0, 90.0)","(73.0, 91.0)",119.98360655737704
"(5601.5, 5776.5)","(3913.0, 7861.0)","(5673.25, 6184.75)",6547.564516129032
"(19108.5, 23889.5)","(16757.0, 21547.0)","(16785.25, 18772.75)",19833.188524590165
"(171.5, 188.5)","(96.5, 253.5)","(143.5, 212.5)",6235.032258064516
"(101.25, 202.75)","(101.625, 202.375)","(121.0, 211.0)",267.1711711711712
"(63.5, 146.5)","(78.0, 161.0)","(98.75, 181.25)",206.20994475138122
"(146.0, 326.0)","(204.0, 256.0)","(186.0, 286.0)",255.82758620689654
"(261.0, 387.0)","(192.0, 385.0)","(-12.5, 712.5)",1179.8255033557048
"(191.0, 661.0)","(-446.125, 2046.125)","(-40.0, 1440.0)",647.5391705069125
"(49.0, 57.0)","(50.25, 53.75)","(40.125, 51.875)",53.38383838383838
"(997.0, 1013.0)","(997.0, 1013.0)","(805.5, 1204.5)",1253.4545454545455
"(8692.25, 9047.75)","(8641.0, 8957.0)","(10162.375, 11837.625)",9174.818181818182
"(58039.5, 63484.5)","(60090.25, 61433.75)","(60361.0, 62059.0)",63117.4
"(159572.0, 166388.0)","(169021.875, 170570.125)","(165394.5, 169037.5)",165864.3125
"(2257.0, 5543.0)","(-870.5, 2868.5)","(172.5, 1024.5)",2794.6053811659194
"(1080.0, 1368.0)","(-5659.25, 8223.25)","(-1167.5, 8229.5)",4279.6188340807175
"(1.0, 1.0)","(0.0, 2.0)","(0.0, 2.0)",1.2610837438423645
"(1.5, 2.5)","(2.0, 4.0)","(2.5, 5.5)",3.8671875
"(4.0, 4.0)","(4.0, 4.0)","(2.5, 5.5)",22.172043010752688
"(-7.0, 17.0)","(-5.0, 26.0)","(4.0, 34.0)",18.346456692913385
"(0.0, 4.0)","(-0.5, 4.5)","(1.0, 3.0)",3.687022900763359
"(27.0, 125.0)","(168.0, 208.0)","(182.375, 281.625)",97.4695945945946
"(1258.875, 1539.125)","(1096.0, 1350.0)","(1073.0, 1193.0)",1289.1460674157304
"(457.75, 596.25)","(471.5, 760.5)","(359.75, 560.25)",598.3497942386831
"(925.0, 1075.0)","(899.125, 1098.875)","(63.625, 540.375)",959.9298245614035
"(300.875, 332.125)","(273.375, 348.625)","(168.25, 225.75)",344.6969696969697
"(38.0, 42.0)","(22.5, 49.5)","(-2.5, 32.5)",31.8141592920354
"(50080.0, 60080.0)","(50193.125, 59804.875)","(51163.5, 59052.5)",73835.21900826447
"(1133.0, 1191.0)","(1065.625, 1316.375)","(753.25, 1138.75)",1138.3148148148148
"(15.0, 15.0)","(13.25, 16.75)","(12.5, 15.5)",15.553846153846154
"(10169.0, 36723.0)","(18714.0, 44268.0)","(16921.375, 32078.625)",35365.47727272727
"(46487.5, 52512.5)","(46487.5, 52512.5)","(46281.25, 52718.75)",48615.26404494382
"(709.0, 749.0)","(621.375, 794.625)","(591.875, 1088.125)",682.2234848484849
"(742524.0, 752222.0)","(714034.0, 783466.0)","(685476.25, 815229.75)",748301.3855932204
"(614.5, 647.5)","(450.375, 861.625)","(205.375, 1313.625)",1178.2816326530613
"(1326.75, 2673.25)","(1433.0, 2563.0)","(497.5, 1778.5)",9803.909547738693
"(1912979.0, 1930993.0)","(1922014.0, 1936652.0)","(1898227.875, 1966540.125)",1931708.391304348
"(295.375, 1642.625)","(500.875, 1462.125)","(1201.625, 1934.375)",1228.2967479674796
"(1168.0, 3023.0)","(924.0, 2751.0)","(1365.125, 2008.875)",2047.8663793103449
"(1919.0, 2119.0)","(1734.5, 2149.5)","(804.875, 2141.125)",2234.2619047619046
"(2716659.5, 2802676.5)","(2703002.75, 2797581.25)","(2508419.75, 2776649.25)",2774902.6089385473
"(2598747.5, 2697252.5)","(2626015.5, 2663966.5)","(2582199.75, 2705692.25)",2649032.4655172415
"(171.0, 329.0)","(155.5, 254.5)","(132.5, 195.5)",295.49568965517244
"(3102.0, 4088.0)","(3111.5, 3888.5)","(3301.875, 3888.125)",3451.088888888889
"(17731.875, 30106.125)","(17813.0, 32187.0)","(6873.875, 56293.125)",24730.0
"(-2561.5, 34561.5)","(20360.5, 32081.5)","(8018.0, 31982.0)",25851.037735849055
"(36604.5, 43389.5)","(33388.625, 40005.375)","(33476.5, 39427.5)",38316.545454545456
"(17675.5, 19324.5)","(17344.0, 18300.0)","(17526.125, 18328.875)",17942.698744769874
"(5.5, 10.5)","(7.0, 9.0)","(5.5, 8.5)",8.79372197309417
"(13.0, 15.0)","(13.5, 26.5)","(7.625, 30.375)",15.0625
"(990584.0, 991756.0)","(989842.5, 993691.5)","(988890.5, 997643.5)",990889.0451127819
"(6.5, 7.5)","(7.5, 8.5)","(8.0, 10.0)",6.854838709677419
"(92.5, 99.5)","(92.0, 100.0)","(96.0, 108.0)",97.09395973154362
"(105.0, 128.0)","(108.5, 117.5)","(116.0, 134.0)",121.90291262135922
"(8474.0, 8560.0)","(8545.75, 8592.25)","(8536.5, 8609.5)",8512.901408450703
"(1244799.625, 1352619.375)","(997254.0, 1373422.0)","(1069083.375, 1480021.625)",1288430.2988505748
"(4627.5, 8862.5)","(4627.5, 8862.5)","(7579.75, 10442.25)",6700.779527559055
"(44960.0, 55040.0)","(45630.0, 49866.0)","(42818.5, 49493.5)",49845.30054644809
"(22831.0, 25169.0)","(22163.0, 24710.0)","(22087.375, 24036.625)",22961.988304093567
"(38.75, 43.25)","(59.5, 78.5)","(78.5, 93.5)",44.08474576271186
"(43234.0, 46764.0)","(42383.5, 49678.5)","(29282.375, 45938.625)",45569.51388888889
"(3034.0, 3816.0)","(2600.0, 4400.0)","(2448.5, 4345.5)",3341.0485436893205
"(3892.0, 4642.0)","(4264.75, 5035.25)","(2494.375, 4956.625)",4073.974025974026
"(2348.0, 2606.0)","(2348.0, 2606.0)","(2192.625, 2526.375)",2325.2833333333333
"(8020.5, 10049.5)","(7554.5, 9475.5)","(7182.75, 10153.25)",7993.740740740741
"(6246.25, 11818.75)","(7246.25, 11437.75)","(9086.125, 12413.875)",9908.23076923077
"(2429.0, 4171.0)","(2263.5, 3736.5)","(2506.375, 3723.625)",3189.7818181818184
"(1261.125, 1488.875)","(1183.5, 1395.5)","(1269.0, 1395.0)",1486.119266055046
"(94.0, 106.0)","(125.0, 225.0)","(8.0, 112.0)",94.52
"(237.5, 238.5)","(237.5, 238.5)","(234.0, 242.0)",234.0581395348837
"(31494.0, 41106.0)","(31741.0, 40859.0)","(37391.5, 54360.5)",36450.236641221374
"(6766.75, 28233.25)","(-2015.0, 16765.0)","(4678.0, 8220.0)",21873.346153846152
"(28.5, 171.5)","(33.125, 171.875)","(40.25, 169.75)",165.23456790123456
"(7.75, 114.25)","(5.875, 113.125)","(19.75, 127.25)",71.42528735632185
"(1243.0, 1641.0)","(1269.0, 1639.0)","(860.5, 2049.5)",2322.402985074627
"(27524.0, 34260.0)","(27834.875, 37123.125)","(22581.0, 56919.0)",31134.05213270142
"(297999.0, 362001.0)","(290496.5, 409503.5)","(147863.75, 380274.25)",341562.0620689655
"(13567.0, 15933.0)","(10863.25, 13904.75)","(12295.125, 14418.875)",13681.166666666666
"(205499500.0, 212500504.0)","(205526852.75, 214471147.25)","(205476516.0, 224323458.0)",210747429.5480226
"(12803.5, 22238.5)","(13380.25, 21661.75)","(11334.25, 20009.75)",21270.19375
"(859.0, 1051.0)","(890.5, 1089.5)","(1108.375, 1367.625)",933.8783068783068
"(1197897.5, 1362102.5)","(1189561.0, 1310927.0)","(1139849.125, 1368638.875)",1277282.4510869565
"(5470555.0, 5640555.0)","(5576030.5, 5703513.5)","(5561972.75, 5808185.25)",5483681.086705202
"(451040.5, 648959.5)","(432568.0, 617432.0)","(446379.375, 575365.625)",600492.3865979381
"(277496.0, 302496.0)","(287078.5, 308921.5)","(281973.0, 308025.0)",288282.2554112554
"(-144.5, 3318.5)","(1370.75, 1703.25)","(1501.0, 1733.0)",2620.4088888888887
"(244437.5, 255562.5)","(240210.5, 259789.5)","(224416.0, 249586.0)",257753.96759259258
"(6738909.625, 7028890.375)","(5153919.875, 6342517.125)","(5134478.75, 5686205.25)",6916720.726744186
"(2864479.0, 2898316.0)","(2752353.5, 2888910.5)","(2872121.25, 3050306.75)",2893908.4411764704
"(2834261.625, 3053473.375)","(2857505.625, 3111246.375)","(2788781.5, 3046998.5)",2951129.7608695654
"(352.5, 357.5)","(352.0, 358.0)","(328.0, 372.0)",355.3968253968254
"(2093.0, 2241.0)","(2048.5, 2467.5)","(2390.75, 2588.25)",2174.2
"(51.25, 356.75)","(293.75, 590.25)","(14.5, 245.5)",419.8695652173913
"(60.5, 99.5)","(30.0, 70.0)","(28.0, 54.0)",147.47058823529412
"(185.0, 324.0)","(197.5, 336.5)","(101.75, 310.25)",276.9107142857143
"(643.75, 674.25)","(651.5, 668.5)","(653.5, 680.5)",672.3064516129032
"(1087.125, 1159.875)","(1079.5, 1166.5)","(1057.0, 1113.0)",1127.7738095238096
"(745.0, 769.0)","(754.0, 772.0)","(753.375, 784.625)",761.8611111111111
"(68.0, 122.0)","(83.5, 124.5)","(75.5, 106.5)",251.21212121212122
"(94.0, 148.0)","(46.5, 95.5)","(26.75, 127.25)",101.28
"(637936.0, 681772.0)","(627408.25, 669257.75)","(570505.0, 653519.0)",657432.5928143712
"(21412620.625, 21687376.375)","(21520667.0, 21744571.0)","(21217940.5, 22230175.5)",21557908.265432097
"(90457.0, 107543.0)","(91195.625, 105625.375)","(88135.75, 96348.25)",92851.69565217392
"(566615.5, 593384.5)","(572445.125, 616442.875)","(529825.5, 623570.5)",577674.9932432432
"(531.5, 1440.5)","(753.5, 1316.5)","(910.75, 1359.25)",1433.0182648401826
"(20258467.25, 20631532.75)","(20052107.25, 20728184.75)","(21562870.5, 24145149.5)",20405124.726775955
"(9520.125, 9577.875)","(9432.0, 9688.0)","(9329.5, 9748.5)",9528.964788732394
"(2950.5, 3829.5)","(2799.0, 3497.0)","(2470.5, 3159.5)",3579.4691358024693
"(642.0, 744.0)","(666.0, 786.0)","(656.75, 797.25)",713.8565022421525
"(4696.5, 4803.5)","(4426.0, 4868.0)","(3111.0, 6485.0)",4613.415887850468
"(-10625.25, 46625.25)","(7482.75, 18517.25)","(5023.5, 11130.5)",33865.0162601626
"(23700005.0, 25899995.0)","(22946153.0, 25303915.0)","(22944145.25, 24829188.75)",24569091.043243244
"(2814777.375, 2920222.625)","(2701542.25, 2959611.75)","(2210835.5, 2703830.5)",2963234.704225352
"(3164204.5, 3306295.5)","(3231043.5, 3362019.5)","(3103864.625, 3317189.375)",3270563.0240963856
"(416843.5, 432086.5)","(415054.5, 445053.5)","(349661.125, 472289.875)",421763.07650273223
"(1159994.0, 1188004.0)","(1142307.0, 1172307.0)","(1099646.25, 1152445.75)",1171853.4
"(1605.5, 2194.5)","(1029.0, 1619.0)","(1050.875, 1469.125)",1639.1489361702127
"(2344965.625, 2455034.375)","(2325322.0, 2602674.0)","(2652241.0, 3107033.0)",2375731.140625
"(1054700.0, 1745700.0)","(730500.0, 1355500.0)","(927003.75, 1034892.25)",1365797.5433789955
"(718.0, 718.0)","(766.0, 1020.0)","(1181.25, 1629.75)",709.5586206896552
"(81043.5, 90042.5)","(80425.0, 92325.0)","(84906.375, 109023.625)",82407.33613445378
"(15871.0, 22189.0)","(15995.0, 24004.0)","(18748.0, 19192.0)",21176.05487804878
