avgHighPrice,highPriceVolume,avgLowPrice,lowPriceVolume,timestamp,id
919.0,1,901.0,11,1647192300,1119
,0,52300.0,2,1647192300,11200
,0,2753.0,3,1647192300,1121
1398.0,3100,1344.0,4791,1647192300,11212
2003.0,30,,0,1647192300,11229
9550.0,24,9446.0,1088,1647192300,1123
1944.0,27813,1914.0,1137,1647192300,11230
2300.0,2,2292.0,1734,1647192300,11232
733552.0,1,692518.0,1,1647192300,11235
,0,1516.0,2520,1647192300,11237
,0,2003.0,2,1647192300,11238
,0,2501.0,1,1647192300,11240
4296.0,60,4015.0,14,1647192300,11242
,0,2100.0,1,1647192300,11244
,0,2500.0,6,1647192300,11246
4160.0,330,4153.0,305,1647192300,11248
3079.0,7,2986.0,4,1647192300,1125
,0,21431.0,2,1647192300,11252
,0,41358.0,3,1647192300,11254
347196.0,1,,0,1647192300,11256
846.0,401,836.0,401,1647192300,11260
38487.0,27,38389.0,195,1647192300,1127
3763047.0,4,3706275.0,3,1647192300,11284
,0,30.0,2,1647192300,1129
800.0,9,541.0,11,1647192300,113
6.0,128,,0,1647192300,1131
408.0,1,,0,1647192300,1133
,0,17.0,7,1647192300,11330
4244.0,397,4231.0,4713,1647192300,1135
,0,23.0,1,1647192300,1137
106.0,3,,0,1647192300,1139
28.0,1,,0,1647192300,1141
301.0,4,,0,1647192300,1143
948.0,2,885.0,2,1647192300,1145
11047.0,7,10914.0,189,1647192300,1147
60566.0,1,58756.0,24,1647192300,1149
412.0,20,359.0,1,1647192300,115
,0,104.0,3,1647192300,1153
100.0,2,,0,1647192300,1155
,0,753.0,2,1647192300,1159
,0,1813.0,7,1647192300,1161
20828.0,97,20347.0,290,1647192300,1163
418.0,5,401.0,1,1647192300,1165
,0,5.0,1,1647192300,1167
40.0,6,,0,1647192300,1169
,0,148.0,1,1647192300,117
,0,95.0,6,1647192300,1171
100.0,1,34.0,1,1647192300,1173
250.0,1,,0,1647192300,1177
35962170.0,2,35623335.0,3,1647192300,11785
13135622.0,5,13007794.0,9,1647192300,11802
14445608.0,3,14254617.0,3,1647192300,11804
5256924.0,1,,0,1647192300,11808
,0,740.0,8,1647192300,1181
,0,24325000.0,1,1647192300,11814
,0,153000.0,1,1647192300,11820
,0,156670.0,1,1647192300,11822
12855766.0,2,12673020.0,1,1647192300,11824
9545805.0,4,9444040.0,2,1647192300,11826
,0,41207421.0,3,1647192300,11828
,0,2050.0,2,1647192300,1183
,0,35929783.0,2,1647192300,11830
25587131.0,5,25456020.0,8,1647192300,11832
21441347.0,16,21263045.0,4,1647192300,11834
,0,242000.0,2,1647192300,11836
,0,266066.0,2,1647192300,11838
176530.0,18,174088.0,3,1647192300,11840
22505.0,8,22506.0,33,1647192300,1185
308000.0,1,,0,1647192300,1187
60.0,4503,58.0,3585,1647192300,11875
,0,12905000.0,2,1647192300,11889
,0,40000.0,2,1647192300,11902
729329.0,2,,0,1647192300,11905
43000.0,1,41000.0,1,1647192300,11908
,0,28.0,4,1647192300,1191
4797863.0,5,4835534.0,1,1647192300,11920
3577375.0,2,3511361.0,1,1647192300,11926
1519.0,170,,0,1647192300,11936
,0,3.0,375,1647192300,11940
,0,3050.0,68,1647192300,11943
,0,1423.0,1,1647192300,1195
,0,193.0,1,1647192300,11951
100.0,30,,0,1647192300,11955
,0,59.0,1,1647192300,11957
2446.0,501,,0,1647192300,11959
12752.0,45,12426.0,82,1647192300,11968
970.0,129,,0,1647192300,1197
12703.0,18,12337.0,3,1647192300,11972
12601.0,392,12256.0,19,1647192300,11978
13420.0,281,13300.0,13,1647192300,11980
2926.0,1,,0,1647192300,1199
4919.0,2,,0,1647192300,11990
,0,1324.0,264,1647192300,11992
,0,199.0,9277,1647192300,11994
2130551.0,2,2110313.0,2,1647192300,11998
190000.0,1,183842.0,2,1647192300,12
2296450.0,4,2219086.0,1,1647192300,12000
451600.0,6,437159.0,2,1647192300,12002
728894.0,4,715770.0,1,1647192300,12004
31958.0,17,31959.0,97,1647192300,1201
,0,53.0,2,1647192300,1207
127.0,1,,0,1647192300,1209
,0,288.0,26,1647192300,1211
,0,4292.0,10,1647192300,1213
17351.0,16,17348.0,9,1647192300,1215
,0,11790.0,2,1647192300,12197
35478.0,2,30725.0,1,1647192300,12203
43700.0,1,,0,1647192300,12213
28290.0,1,,0,1647192300,12271
,0,61000.0,2,1647192300,12273
,0,3901.0,1,1647192300,12291
,0,8261.0,1,1647192300,12321
,0,4005.0,1,1647192300,12333
